Name,RA_hms,Dec_dms
J0002+6216,00:02:58.1,+62:16:09.4
J0006+1834,00:06:04.8,+18:34:59
J0007+7303,00:07:01.7,+73:03:07.4
J0011+08,00:11:34,+08:10:00
J0012+5431,00:12:23.3,+54:31:40
B0011+47,00:14:17.7,+47:46:33.4
J0021-0909,00:21:51.4,-09:09:58.7
J0023+0923,00:23:16.8,+09:23:23.8
B0021-72C,00:23:50.3,-72:04:31.5
B0021-72D,00:24:13.8,-72:04:43.8
B0021-72E,00:24:11.1,-72:05:20.1
B0021-72F,00:24:03.8,-72:04:42.8
B0021-72G,00:24:07.9,-72:04:39.7
B0021-72H,00:24:06.7,-72:04:06.8
B0021-72I,00:24:07.9,-72:04:39.6
B0021-72J,00:23:59.4,-72:03:58.7
B0021-72L,00:24:03.7,-72:04:56.9
B0021-72M,00:23:54.4,-72:05:30.7
B0021-72N,00:24:09.1,-72:04:28.8
J0024-7204O,00:24:04.6,-72:04:53.7
J0024-7204P,00:24:20,-72:04:10
J0024-7204Q,00:24:16.4,-72:04:25.1
J0024-7204R,00:24:07.5,-72:04:50.3
J0024-7204S,00:24:03.9,-72:04:42.3
J0024-7204T,00:24:08.5,-72:04:38.9
J0024-7204U,00:24:09.8,-72:03:59.6
J0024-7204V,00:24:05.6,-72:04:52.6
J0024-7204W,00:24:06.0,-72:04:49.0
J0024-7204X,00:24:22.3,-72:01:17.4
J0024-7204Y,00:24:01.4,-72:04:41.8
J0024-7204Z,00:24:06.0,-72:05:01.4
J0024-7204aa,00:24:05.6,-72:04:52.6
J0024-7204ab,00:24:08.1,-72:04:47.6
J0024-7204ac,00:24:05.6,-72:04:52.6
J0024-7204ad,00:24:05.6,-72:04:52.6
J0026+6320,00:26:50.5,+63:20:00.8
J0026-1955,00:26:36,-19:55:59
J0030+0451,00:30:27.4,+04:51:39.7
J0032+6946,00:34:00,+69:43:00
J0033+57,00:33:00,+57:00:00
J0033+61,00:33:00,+61:00:00
J0034-0534,00:34:21.8,-05:34:36.7
B0031-07,00:34:08.8,-07:21:53.4
J0036-1033,00:36:15.0,-10:33:14.2
J0038-2501,00:38:10.2,-25:01:30.7
J0039+35,00:39:06,+35:45:00
B0037+56,00:40:32.3,+57:16:24.8
J0040-7326,00:40:23.7,-73:26:26.0
J0040-7335,00:40:54.5,-73:35:53.6
J0040-7337,00:40:46.7,-73:37:07.3
J0043-7319,00:43:13.2,-73:19:55.6
J0044-7314,00:44:56.9,-73:13:59.3
J0045-7042,00:45:25.6,-70:42:07.1
J0045-7319,00:45:35.1,-73:19:03.0
B0045+33,00:48:33.9,+34:12:08.0
J0048-7317,00:48:56.8,-73:17:46.0
J0050+03,00:50:31,+03:48:00
J0051+0423,00:51:30.1,+04:22:49
J0051-7204,00:51:34.5,-72:04:23.7
J0054+66,00:54:00,+66:00:00
J0054+6650,00:54:55.4,+66:50:23.7
J0054+69,00:54:28,+69:26:00
J0054+6946,00:54:59.1,+69:46:16.8
J0054-7228,00:54:54.2,-72:28:33.3
B0052+51,00:55:45.3,+51:17:24.6
B0053+47,00:56:25.5,+47:56:10.5
J0057-7201,00:57:44.0,-72:01:19
J0058+4950,00:58:09.9,+49:50:26.0
J0058+6125,00:58:00,+61:25:00
J0058-7218,00:58:16.7,-72:18:06
J0059+69,00:59:30,+69:55:00
J0100+8023,01:00:16.0,+80:23:41.7
J0100-7211,01:00:43.0,-72:11:33.6
J0101-6422,01:01:11.1,-64:22:30.1
J0102+4839,01:02:50.6,+48:39:42.7
B0059+65,01:02:32.9,+65:37:13.4
J0103+54,01:03:37,+54:02:00
J0104+64,01:04:00,+64:00:00
J0105-7208,01:05:38.5,-72:08:53.4
J0106+4855,01:06:25.0,+48:55:51.8
J0107+1322,01:07:39.9,+13:22:31.7
B0105+65,01:08:22.5,+66:08:34.4
B0105+68,01:08:29.5,+69:05:52.6
J0108-1431,01:08:08.3,-14:31:50.1
J0109+11,01:09:00,+11:32:00
